label,mission,object_id,period_days,dur_hr,depth_ppm,rprstar,a_over_rstar,radius_rearth,insol_earth,eq_temp_k,teff_k,logg_cgs,star_rad_rsun,ra_deg,dec_deg,t_mag
1,K2,K2-202 b,3.405164,,,0.023171,11.942004,2.30165603,,,5491.0,4.55,0.910685,283.2643203,-22.4070553,12.4419
1,K2,K2-118 b,50.92092,,,0.031741,71.82,2.54,4.3,,4726.29,,0.734626,132.1268608,15.6558964,13.1313
0,Kepler,K01188.01,2.988085455,3.68,802.8,0.246924,2.12,21.81,348.05,1101.0,5497.0,4.577,0.809,294.07071,38.981331,
1,TESS,TOI-26411,4.880964,1.6120362,3385.5526856,0.05818550236613928,,9.7354897,626.1274546,1275.8083387,6309.0,4.32298,1.27132,171.130372,-42.732139,11.1897
1,K2,K2-64 b,6.53044,3.06,,0.0259,,2.07,98.0,,5312.0,4.576,0.726,332.4138478,-11.4286687,13.392
0,Kepler,K06964.01,4.305917719,5.61993,361390.0,0.631344,9.05159,71.49,607.76,1266.0,6502.0,4.44,1.037,292.05872,43.925228,
1,K2,K2-24 c,42.36342,7.058,,0.06147,44.6,8.1,23.4,560.0,5743.0,4.29,1.21,242.5734559,-24.9906029,10.371
1,TESS,TOI-21781,3.024111,2.7209657,7558.6411086,0.0869404457580015,,12.0899079,1227.3844251,1509.6104781,6041.0,4.22,1.36388,285.240829,46.668241,13.4633
1,TESS,TOI-59941,7.9726644,2.5395549,3581.1493923,0.05984270542263276,,3.7927661,32.2210236,607.6515119,4564.61,4.68645,0.637495,292.50342,43.083219,13.0702
1,Kepler,Kepler-446 b,1.565412613,0.7572,2754.6,0.048437,16.57,1.73,41.85,648.0,3464.0,4.923,0.328,282.25021,44.921108,
1,K2,K2-237 b,2.18053435,,,0.118,5.4,,,,6257.0,4.24,1.43,253.7688479,-28.7105836,11.0657
0,TESS,TOI-16721,3.8954139,2.832,911.0,0.03018277654557314,,5.15915,566.299,1359.0,6064.0,3.94,1.89,91.872047,66.857699,10.045
0,Kepler,K04133.01,0.621361411,1.0628,45.0,0.0062,4.53,1.12,17004.65,2913.0,6234.0,4.046,1.66,289.98096,43.299492,
0,Kepler,K05771.01,198.232389,1.919,416.4,0.018772,804.0,2.28,3.64,352.0,6263.0,4.382,1.113,298.49445,47.187271,
1,Kepler,Kepler-1481 b,5.94228603,2.169,250.0,0.014007,21.13,1.23,95.34,797.0,4891.0,4.516,0.805,289.43896,49.73122,
0,TESS,TOI-15451,1.5166573,1.607,1590.0,0.03987480407475377,,7.73846,2422.33,1954.0,6905.3,4.03,2.0,6.030617,40.165571,9.83204
1,Kepler,Kepler-1479 b,14.53260546,2.4212,328.9,0.016627,46.34,1.69,73.37,746.0,6003.0,4.507,0.932,285.71191,49.706661,
0,K2,EPIC 211429934.01,0.565934,1.9608,76907.0,0.27732111351283734,,,,,5309.0,4.01449,1.55349,136.5334223,12.0918411,14.2696
1,Kepler,Kepler-317 b,5.52418625,2.826,491.0,0.02055,13.37,2.25,214.86,976.0,5334.0,4.372,1.004,294.94388,39.032059,
0,Kepler,K04855.01,1.45728997,3.582,71.3,0.008377,2.26,0.93,1818.19,1665.0,6063.0,4.476,1.012,290.36142,46.661331,
0,Kepler,K05432.01,230.80401566,3.57,,,,,,,,,,290.83856,43.526741,
0,K2,EPIC 251404897.01,0.660085,1.9608,273793.0,0.5232523291873625,,,,,4401.0,4.1475,1.16067,137.3018782,25.0710794,15.3431
0,Kepler,K05005.01,251.958533,4.742,204.1,0.013004,411.0,1.4,1.69,291.0,5870.0,4.449,0.985,293.65378,38.8339,
0,Kepler,K05399.01,466.90824,2.64,660.0,0.023109,1377.0,2.19,0.46,210.0,5340.0,4.456,0.867,297.65436,43.178551,
1,TESS,TOI-43421,5.538329,2.2263888,1407.1118648,0.037511489770468996,,2.2721409,27.6818339,585.0169701,3883.0,4.65275,0.598175,324.38942,-77.979147,11.0318
1,Kepler,Kepler-154 d,20.5498184,5.5484,1564.3,0.038064,22.9,4.04,44.11,657.0,5688.0,4.415,0.971,289.78052,49.89653,
0,Kepler,K03958.01,0.885123683,3.3865,113.3,0.010426,1.66,1.14,3477.17,1961.0,5979.0,4.44,0.998,298.83673,43.44302,
0,Kepler,K04809.01,10.0102876,5.33,127.1,0.010497,12.02,0.69,17.56,522.0,4214.0,4.65,0.601,287.43542,39.692989,
1,K2,K2-57 b,9.0074,2.424,1254.0000000000002,0.0334,25.7,2.18,,,,,0.599,342.6918241,-14.0700007,13.3833
1,Kepler,Kepler-1413 b,13.1829329,3.594,518.0,0.020402,28.6,1.84,45.19,661.0,5382.0,4.571,0.827,294.34164,46.49876,
1,TESS,TOI-5092,21.4003129,5.3847459,960.7539877,0.030996031805700548,,3.0010426,35.2811724,621.592122,5560.26,4.438,0.962324,117.924642,9.385241,7.9259
0,Kepler,K07372.01,7.143708297,5.83451,202680.0,0.413415,13.16,44.78,187.0,943.0,5655.0,4.386,0.992,290.61478,48.186771,
1,K2,WASP-47 b,4.1591399,3.58392,10510.0,0.10251829105091442,,12.89,,,5350.0,,1.15,331.203092,-12.019067,11.29
1,Kepler,Kepler-374 b,1.897828815,2.7114,132.4,0.010464,5.301,1.73,2278.95,1761.0,5640.0,4.087,1.515,294.13791,42.370499,
0,Kepler,K01348.01,7.702374154,3.8459,18377.0,2.485195,15.32,225.25,109.38,825.0,5598.0,4.565,0.83,292.7399,42.359402,
1,TESS,TOI-44661,5.0141991,4.5606871,6026.126007,0.07762812639114769,,13.4911728,1233.0979889,1511.3642562,6669.0,4.12805,1.69675,299.097517,43.497585,13.3926
0,Kepler,K06392.01,383.61248,12.263,619.3,0.023301,217.7,2.3,0.9,248.0,6011.0,4.522,0.902,294.92883,39.201401,
1,K2,K2-270 c,4.400037,1.56,,0.0368,,3.3,,,,,0.82,131.2665588,13.5497322,12.8344
0,Kepler,K06016.01,4.553370029,3.2209,23692.0,0.213383,8.201,25.84,603.58,1264.0,6306.0,4.346,1.109,293.2944,41.035351,
1,K2,K2-164 b,17.355066,,,0.013565,13.912102,3.24925008,,,5791.0,3.81,2.196069,171.933659,-0.0628488,10.6964
1,Kepler,Kepler-148 d,51.84688984,4.7769,9636.3,0.095348,71.13,8.73,6.9,413.0,5227.0,4.535,0.838,289.78622,46.858791,
